Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y19501952,Y19531955,Y19561958,Y19591961,Y19621964,Y19651967,Y19681970,Y19711973,Y19741976,Y19771979,Y19801982,Y19831985,Y19861988,Y19891991,Y19921994,Y19951997,Y19982000,Y20012003,Y20042006,Y20072009,Y20102012,Y20132015,Y20162018,Y20192021,Y20222024,Y20252027,Y20282030,Y20312033,Y20342036,Y20372039,Y20402042,Y20432045,Y20462048,Y20492051,Y20522054,Y20552057,Y20582060,Y20612063,Y20642066,Y20672069,Y20702072,Y20732075,Y20762078,Y20792081,Y20822084,Y20852087,Y20882090,Y20912093,Y20942096,Y20972099
16,'050,Bangladesh,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,40568.003333333334,43308.953,46570.32633333333,50428.05366666667,55110.080333333324,60289.968666666675,65801.47333333333,69622.57566666666,74676.07733333333,80017.82966666667,86213.31233333332,93512.93866666667,100483.61166666665,107094.71966666666,113435.25,119903.14400000001,126766.20733333332,134104.50533333333,140777.04866666667,145421.354,150230.93099999998,155940.47933333332,161754.16333333333,167431.14133333333,172947.30066666668,178093.203,182898.60266666664,187262.97166666668,191146.56366666665,194524.39,197429.47400000002,199937.72166666668,202097.48400000003,203889.26633333333,205288.41466666668,206276.20033333334,206800.52366666668,206853.76499999998,206421.00266666667,205533.13233333334,204221.536,202522.81766666667,200477.01166666663,198091.91599999997,195410.17333333334,192446.49866666668,189245.44000000003,185859.8646666667,182339.69866666663,178761.99400000004
16,'050,Bangladesh,3010,Population - Est. & Proj.,561,Urban population,1000 No,1687.0683333333334,1896.8426666666667,2156.8316666666665,2484.868,3014.1059999999998,3737.1626666666666,4627.313666666667,5560.259333333334,7046.248,9766.422666666665,13090.369333333334,15492.054666666665,18103.680333333334,21029.595,23846.372,26766.55,29943.430666666667,33827.291999999994,38451.808,43117.441666666666,48075.683,53461.71133333334,59053.030999999995,64824.223,70807.844,76834.424,82746.82566666666,88479.43333333333,93944.15566666667,99085.703,104058.06866666667,108866.458,113466.85633333334,117124.1495,,,,,,,,,,,,,,,,
18,'064,Bhutan,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,179.915,191.711,205.5,221.35933333333332,240.37633333333335,263.10833333333335,289.43066666666664,319.25499999999994,352.41,389.174,428.6996666666667,470.242,514.076,556.7869999999999,529.3473333333333,537.2983333333333,571.7800000000001,618.9696666666667,662.1913333333333,689.6763333333333,713.3306666666667,736.1733333333333,755.9926666666667,772.4836666666666,787.4203333333334,802.2490000000001,816.7583333333333,830.5736666666667,843.1423333333333,854.0643333333334,862.9523333333333,869.3426666666666,873.0566666666667,874.2136666666665,873.107,869.9786666666665,864.8620000000001,857.7600000000001,848.562,837.1643333333333,823.6046666666666,808.0316666666668,790.8786666666666,772.5546666666665,753.6253333333334,734.6523333333333,716.13,698.3273333333333,681.247,664.9026666666667
18,'064,Bhutan,3010,Population - Est. & Proj.,561,Urban population,1000 No,4.015,5.041666666666667,6.358333333333334,8.044333333333332,10.178666666666667,12.991333333333332,16.731666666666666,21.52733333333333,27.63033333333333,35.393,44.80733333333333,56.102000000000004,71.35266666666666,87.73666666666668,98.42,111.86833333333333,136.14633333333333,167.38766666666666,202.511,233.00033333333332,263.516,294.376,324.35699999999997,353.43533333333335,382.036,409.593,435.5706666666667,459.69166666666666,481.75333333333333,501.8633333333333,521.0076666666668,539.3583333333332,556.8133333333334,570.596,,,,,,,,,,,,,,,,
100,'356,India,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,364980.216,389845.70100000006,416962.58633333334,446068.93566666666,478005.707,511031.34400000004,545415.96,582981.5446666667,623565.8726666666,666400.5903333334,712955.7163333334,762987.9286666667,815774.9330000001,870468.8646666667,926395.768,983298.5256666667,1040522.7683333332,1098233.023,1154425.6946666667,1206688.925,1257574.008666667,1307081.6923333334,1353945.1086666668,1395687.6730000002,1429173.5626666667,1467138.8186666667,1503378.5753333333,1537002.2533333332,1567674.9593333334,1595116.4213333335,1619193.3566666667,1639710.4956666667,1656665.4883333333,1670373.0746666666,1680967.027,1688800.1483333334,1694046.6933333334,1696594.3716666668,1696523.0726666667,1693612.894,1687878.7240000002,1679349.5396666666,1668260.2966666669,1654770.8329999999,1639310.5713333332,1622374.03,1604156.9023333334,1584908.048333333,1564770.6689999998,1543974.6666666667
100,'356,India,3010,Population - Est. & Proj.,561,Urban population,1000 No,65945.51166666666,70441.053,75228.46733333333,80649.84333333332,87923.74766666668,96467.70566666666,105984.36966666667,117808.39666666667,132591.54133333333,149007.37933333335,166841.44866666666,184324.37433333334,202794.991,222295.53933333335,242056.77599999998,262550.8306666667,284037.7293333333,307843.0733333333,334517.4266666667,362097.747,390126.37533333333,419081.9353333334,450044.94800000003,483172.2893333333,518310.37766666664,555363.8420000001,594136.374,634313.6123333334,675468.2483333334,716909.819,757989.0579999998,798415.9483333332,838013.8666666667,870252.287,,,,,,,,,,,,,,,,
149,'524,Nepal,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,8579.556666666665,9110.717999999999,9632.386,10171.255333333334,10785.417333333333,11472.909666666666,12234.523333333333,13054.351,13927.526666666665,14892.588000000002,15972.452666666664,17140.948333333334,18327.958333333332,19630.79533333333,21254.747666666666,22779.65233333333,24135.328333333335,25323.718999999997,26269.34866666667,26874.046666666665,27252.88666666667,27484.662,28183.774666666664,29405.370666666666,30894.828333333335,31904.320666666667,32838.638999999996,33683.28633333333,34446.17333333333,35139.10466666666,35774.07466666666,36367.55533333333,36912.37566666667,37398.915,37814.34566666667,38145.734333333334,38383.509,38534.77366666667,38598.43666666667,38573.950666666664,38463.994,38269.88066666667,37988.75133333334,37619.072,37171.00399999999,36652.24333333333,36076.181,35462.90866666666,34832.443999999996,34195.52133333333
149,'524,Nepal,3010,Population - Est. & Proj.,561,Urban population,1000 No,238.04466666666667,271.9603333333333,309.0133333333333,350.378,385.66833333333335,420.1856666666667,460.237,525.5169999999999,644.7486666666667,792.1443333333333,970.8143333333334,1165.204,1390.3816666666664,1663.073333333333,2034.5496666666666,2488.0956666666666,2998.862333333333,3498.4303333333332,3883.7316666666666,4265.099,4677.873333333334,5151.020666666666,5667.999333333333,6228.124666666667,6837.031333333333,7488.069,8173.7373333333335,8887.546666666667,9623.497333333333,10374.991,11141.351,11920.367666666667,12706.922,13364.508,,,,,,,,,,,,,,,,
165,'586,Pakistan,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,38242.942,40245.14866666667,42829.49966666666,45952.926666666666,49346.494333333336,53223.611,57697.473333333335,62557.99,68169.03033333334,74882.592,84240.819,94068.597,104279.15133333333,115429.34133333334,125722.31099999999,137227.51766666665,149846.83066666665,163119.07133333333,174363.56733333334,185993.2326666667,198421.03233333337,208186.16266666667,216545.32466666665,227297.37933333335,240506.77833333332,254726.50566666666,269185.369,283777.0143333333,298434.0296666667,313013.9546666667,327290.452,341233.3926666667,354787.442,367797.2426666666,380350.4213333333,392403.277,403929.895,414851.9843333333,425087.3386666667,434529.33666666667,443120.62933333335,450848.9436666667,457723.50266666664,463749.77033333335,469024.62833333336,473609.72833333333,477600.017,480978.589,483716.8483333333,485873.64333333337
165,'586,Pakistan,3010,Population - Est. & Proj.,561,Urban population,1000 No,6820.924666666667,7654.846333333332,8686.297,9919.443333333335,11118.741999999998,12412.028,13889.393000000002,15570.392333333335,17607.48166666667,20048.948,22897.789999999997,25977.624333333337,29351.264666666666,32925.29866666667,36583.62466666667,40425.71333333333,44390.94933333333,48289.45333333333,52312.712666666666,56619.727000000006,61334.041333333334,66467.302,71810.46699999999,77453.44133333334,83516.143,90003.64,96949.47333333333,104430.104,112508.27499999998,121227.76366666668,130553.02866666667,140343.152,150286.33,158574.849,,,,,,,,,,,,,,,,
